STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN001080500,"BEGUMPET OBSERVATORY, IN",01-10-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",02-10-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",03-10-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",04-10-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",05-10-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",06-10-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",07-10-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",08-10-1970,0.53,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",09-10-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",10-10-1970,0.21,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",11-10-1970,0.52,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",12-10-1970,0.07,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",13-10-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",14-10-1970,0.81,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",15-10-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",16-10-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",17-10-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",18-10-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",19-10-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",20-10-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",21-10-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",22-10-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",23-10-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",24-10-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",25-10-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",26-10-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",27-10-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",28-10-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",29-10-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",30-10-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",31-10-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",01-11-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",02-11-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",03-11-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",04-11-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",05-11-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",06-11-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",07-11-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",08-11-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",09-11-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",10-11-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",11-11-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",12-11-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",13-11-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",14-11-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",15-11-1970,0,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",16-11-1970,0,,,
