"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-11-01","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-11-02","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-11-03","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-11-04","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-11-05","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-11-06","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-11-07","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-11-08","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-11-09","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-11-10","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-11-11","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-11-12","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-11-13","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-11-14","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-11-15","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-11-16","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-11-17","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-11-18","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-11-19","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-11-20","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-11-21","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-11-22","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-11-23","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-11-24","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-11-25","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-11-26","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-11-27","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-11-28","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-11-29","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-11-30","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-12-01","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-12-02","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-12-03","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-12-04","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-12-05","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-12-06","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-12-07","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-12-08","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-12-09","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-12-10","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-12-11","0.00",,,
"IN001080500","BEGUMPET OBSERVATORY, IN","1970-12-12","0.00",,,
